play_id,clip_file,game_id,offense,defense,quarter,clock,down,distance,yard_line,play_type,play_subtype,result_yards,outcome,first_down,touchdown,turnover,penalty,camera_angle,clip_start,tracking,clip_end,play_description
run_001,run_001.mp4,NE_KC_2019_AFCCG,NE,KC,1,14:55,1,10,NE20,run,up_middle,11,rush,1,0,0,0,all22,00:00:40,00:00:42,00:00:53,Michel up the middle for 11 yards
pass_001,pass_001.mp4,NE_KC_2019_AFCCG,NE,KC,1,14:06,2,9,NE32,pass,short_middle,13,complete,1,0,0,0,all22,00:01:33,00:01:37,00:01:48,Brady to Gronkowski for 13 yards
run_002,run_002.mp4,NE_KC_2019_AFCCG,NE,KC,1,11:53,3,4,KC49,run,right_tackle,5,rush,1,0,0,0,all22,00:02:53,00:02:57,00:03:11,White right tackle for 5 yards
pass_002,pass_002.mp4,NE_KC_2019_AFCCG,NE,KC,1,8:43,3,7,KC30,pass,short_middle,14,complete,1,0,0,0,all22,00:05:50,00:05:53,00:06:06,Brady to Edelman for 14 yards
run_003,run_003.mp4,NE_KC_2019_AFCCG,NE,KC,1,8:30,1,10,KC16,run,right_guard,11,rush,1,0,0,0,all22,00:06:18,00:06:21,00:06:33,Michel right guard for 11 yards
run_004,run_004.mp4,NE_KC_2019_AFCCG,KC,NE,1,6:50,1,10,KC16,run,right_tackle,5,rush,0,0,0,0,all22,00:08:48,00:08:51,00:09:05,Damien Williams right tackle for 5 yards
run_005,run_005.mp4,NE_KC_2019_AFCCG,KC,NE,1,6:37,2,5,KC21,run,up_middle,-2,rush,0,0,0,0,all22,00:09:19,00:09:23,00:09:33,Damien Williams up the middle for -2 yards
run_006,run_006.mp4,NE_KC_2019_AFCCG,NE,KC,2,14:48,2,1,KC1,run,left_guard,0,rush,0,0,0,0,all22,00:16:47,00:16:50,00:16:59,Michel left guard for no gain
pass_003,pass_003.mp4,NE_KC_2019_AFCCG,KC,NE,2,5:55,1,10,KC35,pass,deep_right,42,complete,1,0,0,0,all22,00:27:02,00:27:06,00:27:23,Mahomes to Hill for 42 yards
run_007,run_007.mp4,NE_KC_2019_AFCCG,NE,KC,2,2:53,2,8,NE12,run,left_guard,9,rush,1,0,0,0,all22,00:30:20,00:30:23,00:30:29,Michel left guard for 9 yards
pass_004,pass_004.mp4,NE_KC_2019_AFCCG,NE,KC,2,1:02,1,10,NE32,pass,short_right,30,complete,1,0,0,0,all22,00:32:19,00:32:22,00:32:33,Brady to White for 30 yards
run_008,run_008.mp4,NE_KC_2019_AFCCG,NE,KC,2,0:41,1,10,KC38,run,left_tackle,9,rush,0,0,0,0,all22,00:32:49,00:32:52,00:33:06,White left tackle for 9 yards
pass_005,pass_005.mp4,NE_KC_2019_AFCCG,NE,KC,2,0:33,2,1,KC29,pass,touchdown_pass,29,complete,1,1,0,0,all22,00:33:21,00:33:24,00:33:39,Brady to Dorsett for 29-yard touchdown
pass_006,pass_006.mp4,NE_KC_2019_AFCCG,KC,NE,3,14:14,3,2,KC34,pass,deep_middle,54,complete,1,0,0,0,all22,00:36:57,00:37:00,00:37:16,Mahomes to Watkins for 54 yards
pass_007,pass_007.mp4,NE_KC_2019_AFCCG,KC,NE,3,13:28,1,10,NE12,pass,touchdown_pass,12,complete,1,1,0,0,all22,00:37:36,00:37:38,00:37:50,Mahomes to Kelce for 12-yard touchdown
run_009,run_009.mp4,NE_KC_2019_AFCCG,KC,NE,3,10:08,2,8,KC6,run,up_middle,10,rush,1,0,0,0,all22,00:43:14,00:43:17,00:43:29,Damien Williams up the middle for 10 yards
run_010,run_010.mp4,NE_KC_2019_AFCCG,KC,NE,3,2:27,2,6,KC40,run,up_middle,3,rush,0,0,0,0,all22,00:52:09,00:52:12,00:52:21,Damien Williams up the middle for 3 yards
